,Datetime,Open,High,Low,Close,Volume
351,2024-07-29 04:00:00,221.27,222.5,220.15,221.86,86630
352,2024-07-26 19:30:00,220.05,220.77,220.0,220.65,56580
353,2024-07-26 19:00:00,220.09,220.31,220.0,220.07,28720
354,2024-07-26 18:30:00,220.05,220.15,219.89,220.06,20134
355,2024-07-26 18:00:00,219.95,220.18,219.87,220.1,39159
356,2024-07-26 17:30:00,219.91,220.0,219.8,219.92,36823
357,2024-07-26 17:00:00,220.0,220.05,219.8,219.925,51275
358,2024-07-26 16:30:00,220.0,225.379,210.314,219.95,296008
359,2024-07-26 16:00:00,219.96,220.29,219.71,220.0,6372671
360,2024-07-26 15:30:00,220.31,220.496,219.12,219.96,5845312
361,2024-07-26 15:00:00,219.46,220.388,218.92,220.25,4419058
362,2024-07-26 14:30:00,220.49,220.68,219.05,219.48,4569037
363,2024-07-26 14:00:00,220.84,221.65,220.36,220.465,4267735
364,2024-07-26 13:30:00,221.892,222.186,219.42,220.84,6696560
365,2024-07-26 13:00:00,220.95,222.13,220.68,221.905,5260215
366,2024-07-26 12:30:00,219.67,221.27,219.67,220.961,5144384
367,2024-07-26 12:00:00,218.9,220.6,218.834,219.64,6136687
368,2024-07-26 11:30:00,216.49,219.05,216.49,218.9,5082345
369,2024-07-26 11:00:00,216.74,217.128,215.758,216.517,4953087
370,2024-07-26 10:30:00,216.7,217.69,215.33,216.84,7815598
371,2024-07-26 10:00:00,220.17,220.83,215.73,216.74,11422200
372,2024-07-26 09:30:00,221.19,222.28,216.77,220.16,16019290
373,2024-07-26 09:00:00,223.24,239.16,216.57,221.21,464535
374,2024-07-26 08:30:00,225.0,225.46,220.25,223.27,500713
375,2024-07-26 08:00:00,222.711,225.65,220.25,225.0,534972
376,2024-07-26 07:30:00,223.94,224.9,223.94,224.61,122925
377,2024-07-26 07:00:00,224.05,224.57,223.42,223.92,154943
378,2024-07-26 06:30:00,224.35,224.79,223.98,224.05,40536
379,2024-07-26 06:00:00,224.14,224.86,223.71,224.35,72853
380,2024-07-26 05:30:00,224.8,224.98,224.06,224.15,68483
381,2024-07-26 05:00:00,225.61,225.61,224.5,224.81,89949
382,2024-07-26 04:30:00,224.82,225.65,224.22,225.6,108682
383,2024-07-26 04:00:00,222.78,225.04,222.5,224.8,194509
384,2024-07-25 19:30:00,219.9,220.47,219.8,220.452,54117
385,2024-07-25 19:00:00,219.86,220.0,219.26,219.85,49691
386,2024-07-25 18:30:00,220.73,220.89,219.81,219.855,83397
387,2024-07-25 18:00:00,219.69,220.94,219.6,220.74,114366
388,2024-07-25 17:30:00,219.535,220.8,219.43,219.69,59072
389,2024-07-25 17:00:00,219.03,226.801,218.77,219.535,81578
390,2024-07-25 16:30:00,218.79,232.803,206.298,219.08,208567
391,2024-07-25 16:00:00,220.25,224.55,218.26,218.76,7215936
392,2024-07-25 15:30:00,224.23,224.81,220.17,220.25,7545729
393,2024-07-25 15:00:00,223.12,224.58,222.31,224.23,4355918
394,2024-07-25 14:30:00,224.83,225.47,222.68,223.051,3934480
395,2024-07-25 14:00:00,225.29,225.78,224.29,224.85,3333096
396,2024-07-25 13:30:00,223.77,225.82,223.4,225.23,3731217
397,2024-07-25 13:00:00,224.99,225.87,223.354,223.8,4083626
398,2024-07-25 12:30:00,223.58,226.0,219.94,225.0,5377857
399,2024-07-25 12:00:00,222.95,224.23,219.89,223.58,4138790
400,2024-07-25 11:30:00,222.69,223.64,221.5,222.975,4692827
401,2024-07-25 11:00:00,223.93,224.1,221.66,222.6,5797304
402,2024-07-25 10:30:00,224.36,224.99,222.4,223.94,9162606
403,2024-07-25 10:00:00,219.745,224.41,217.22,224.36,13938121
404,2024-07-25 09:30:00,216.8,223.44,216.231,219.709,21157317
405,2024-07-25 09:00:00,217.53,264.22,216.125,216.83,829111
406,2024-07-25 08:30:00,212.88,225.79,212.6,217.54,1118883
407,2024-07-25 08:00:00,213.36,215.99,210.246,212.75,649131
408,2024-07-25 07:30:00,213.38,213.94,212.61,212.7,181231
409,2024-07-25 07:00:00,212.9,214.59,212.7,213.44,299161
410,2024-07-25 06:30:00,212.3,213.13,212.2,212.9,85223
411,2024-07-25 06:00:00,211.76,212.85,211.48,212.3,129393
412,2024-07-25 05:30:00,212.56,212.88,211.5,211.73,95606
413,2024-07-25 05:00:00,213.24,213.44,211.89,212.54,124661
414,2024-07-25 04:30:00,211.74,213.6,211.23,213.2,371660
415,2024-07-25 04:00:00,214.9,215.98,210.2,211.62,557317
416,2024-07-24 19:30:00,215.4,216.37,214.8,216.358,207761
417,2024-07-24 19:00:00,216.28,216.36,215.12,215.23,165665
418,2024-07-24 18:30:00,215.3,216.74,215.3,216.26,211172
419,2024-07-24 18:00:00,214.01,215.97,213.95,215.4,300259
420,2024-07-24 17:30:00,214.26,214.44,214.0,214.0,233591
421,2024-07-24 17:00:00,215.18,387.944,180.43,214.255,523746
422,2024-07-24 16:30:00,215.92,365.268,180.43,215.15,404845
423,2024-07-24 16:00:00,215.94,251.51,215.0,215.92,16660840
424,2024-07-24 15:30:00,217.79,222.837,215.48,215.5,12493724
425,2024-07-24 15:00:00,219.67,219.83,217.77,217.79,6042621
426,2024-07-24 14:30:00,219.88,221.25,218.87,219.704,4936314
427,2024-07-24 14:00:00,219.35,220.26,218.3,219.885,5990811
428,2024-07-24 13:30:00,220.78,221.6,219.16,219.35,5367304
429,2024-07-24 13:00:00,220.51,221.75,219.72,220.77,6858781
430,2024-07-24 12:30:00,221.27,221.9,220.16,220.539,6557950
431,2024-07-24 12:00:00,220.541,222.64,220.2,221.261,10067742
432,2024-07-24 11:30:00,218.035,221.28,218.01,220.55,12046492
433,2024-07-24 11:00:00,217.46,218.46,216.8,218.014,10469775
